LGANAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
LANE COVE,11832,11807,11755,11681,11590,11562,11502,11457,11461,11432,11406,11430,11413,11408,11411,11407,11438,11459,11489,11500,11480,11489,11529,11565,11595,11627,11657,11685,11713,11740,11766,11791,11816,11840,11864,11887,11910,11932,11954,11975,11996
LEETON,42721,42749,42681,42764,43011,43338,43636,43750,43940,44190,44348,44388,44408,44327,44212,44122,44137,44196,44234,44316,44361,44272,44422,44578,44713,44869,45010,45146,45276,45401,45521,45636,45747,45852,45953,46049,46141,46228,46310,46389,46463
LISMORE,20451,20442,20418,20357,20272,20186,20277,20352,20621,20732,20850,21000,21118,21283,21400,21484,21419,21344,21216,21063,20855,20856,20902,20952,20999,21050,21097,21143,21186,21228,21269,21308,21345,21381,21416,21450,21483,21514,21545,21574,21603
LITHGOW CITY,158027,161908,163835,165627,167472,169868,172875,177372,181712,184910,188088,191799,196122,200725,206205,211983,217465,222410,227187,231268,234505,240035,254038,262334,269621,277387,284626,291477,297120,302796,307274,312659,318644,324827,330997,337188,342706,347813,352479,357112,361687
LIVERPOOL,7977,7940,7859,7797,7736,7717,7720,7717,7718,7738,7761,7786,7812,7831,7837,7847,7829,7806,7780,7702,7608,7608,7617,7626,7635,7644,7653,7661,7669,7677,7684,7691,7698,7705,7711,7718,7724,7729,7735,7741,7746
LIVERPOOL PLAINS,3550,3470,3404,3330,3267,3237,3203,3171,3159,3133,3098,3085,3096,3117,3121,3173,3208,3218,3266,3308,3328,3331,3366,3398,3423,3450,3475,3499,3523,3545,3567,3589,3610,3630,3650,3670,3689,3708,3726,3744,3762
LOCKHART,56055,57642,59167,60440,61961,63505,65143,66244,67268,68561,69924,72012,73870,75695,77374,79063,81058,83260,85313,87920,90612,91595,94036,96485,98785,101216,103566,105895,108199,110481,112748,115001,117242,119474,121697,123911,126116,128313,130500,132679,134849
MAITLAND,81291,82081,83014,83730,84281,84579,85325,86091,86942,87948,88818,89308,89940,90468,91038,91801,92901,93900,94826,95731,96475,96524,97066,97651,98196,98780,99328,99857,100366,100858,101332,101792,102236,102668,103087,103494,103889,104273,104647,105011,105366
MID-COAST,22003,22002,21862,21706,21647,21641,21887,22186,22469,22774,23020,23343,23742,24059,24374,24546,24889,25181,25416,25589,25714,25721,25942,26185,26410,26653,26880,27098,27307,27508,27701,27888,28067,28241,28408,28570,28727,28878,29025,29167,29306
MID-WESTERN REGIONAL,16108,15834,15457,15028,14693,14407,14155,14070,14019,14032,14043,13980,13925,13853,13735,13627,13497,13355,13215,13047,12964,12887,13022,13162,13283,13423,13550,13672,13789,13901,14009,14113,14212,14307,14397,14484,14566,14644,14718,14788,14855
MOREE PLAINS,27680,27644,27680,27737,27538,27570,27900,28422,28761,29131,29351,29481,29641,29846,30045,30260,30299,30269,30020,29543,28466,28476,28535,28632,28680,28755,28873,28914,28947,28975,29010,29044,29081,29116,29153,29178,29195,29211,29228,29247,29268
MOSMAN,10997,10994,10966,10929,10932,11020,11082,11161,11226,11259,11257,11382,11515,11642,11755,11872,12027,12227,12355,12572,12785,12950,13177,13394,13593,13796,13995,14192,14388,14582,14774,14965,15155,15343,15530,15715,15899,16082,16263,16443,16621
MURRAY RIVER,4548,4485,4402,4328,4273,4219,4109,4039,3992,3948,3888,3882,3920,3900,3893,3929,3854,3809,3753,3625,3564,3573,3594,3615,3633,3651,3669,3686,3703,3720,3736,3752,3768,3783,3799,3814,3829,3844,3859,3873,3887
MURRUMBIDGEE,15099,15339,15402,15402,15467,15639,15713,15749,15878,16108,16328,16398,16415,16431,16435,16462,16519,16520,16554,16539,16469,16496,16564,16632,16696,16763,16828,16893,16957,17020,17083,17145,17207,17269,17331,17392,17454,17514,17575,17636,17696
MUSWELLBROOK,18026,18005,17849,18136,18247,18299,18456,18695,18892,19140,19235,19310,19428,19501,19541,19580,19787,19960,20150,20290,20382,20323,20422,20526,20615,20720,20814,20905,20992,21075,21156,21233,21307,21377,21445,21509,21570,21628,21683,21736,21786
NAMBUCCA VALLEY,14422,14244,14050,13784,13592,13477,13359,13303,13349,13394,13438,13433,13489,13480,13459,13367,13300,13233,13146,12990,12808,12808,12820,12833,12845,12858,12869,12881,12892,12902,12913,12922,12932,12941,12950,12958,12967,12975,12982,12990,12997
NARRABRI,6686,6580,6433,6307,6221,6149,6103,6069,6093,6105,6115,6086,6054,6015,5978,5949,5909,5879,5832,5787,5733,5726,5714,5703,5694,5685,5676,5667,5659,5650,5643,5635,5627,5620,5613,5606,5599,5592,5586,5579,5573
NARRANDERA,7060,6980,6863,6777,6734,6691,6676,6726,6748,6815,6832,6795,6761,6721,6668,6617,6596,6584,6565,6521,6448,6453,6463,6475,6485,6496,6507,6517,6527,6536,6546,6554,6563,6571,6579,6586,6594,6601,6607,6614,6621
NARROMINE,141001,142220,143613,144834,145914,146623,148524,150553,151895,153483,155550,156451,157477,158683,159680,160707,162796,164730,166510,168242,169433,170289,172429,174584,176614,178765,180846,182907,184947,186967,188973,190967,192950,194926,196894,198854,200806,202750,204686,206615,208536
NEWCASTLE,58337,58816,59583,60271,60850,61512,62476,63484,64762,65850,66747,67630,68666,69754,70860,71809,72304,72354,72155,71430,69471,69628,70055,70739,71595,72074,72817,73982,75262,76191,77025,77856,78711,79557,80404,81236,82073,82898,83269,83689,84146
NORTH SYDNEY,229816,230170,230208,230438,231741,233600,237084,239842,244500,248250,251696,254115,257020,259723,262593,265468,267483,268390,268935,268164,264567,264830,266471,267295,267907,268826,269661,270323,271048,271489,272001,272575,272923,273268,273617,273961,274308,274651,275003,275406,275846
NORTHERN BEACHES,5257,5269,5243,5209,5193,5179,5166,5161,5192,5207,5209,5235,5300,5318,5329,5349,5409,5455,5489,5540,5567,5561,5576,5593,5608,5625,5641,5656,5670,5684,5697,5710,5722,5734,5746,5757,5768,5778,5788,5798,5808
OBERON,36701,36728,36721,36501,36410,36374,36801,37401,37904,38660,39419,39769,40167,40619,40837,41210,41800,42522,43115,43383,43750,43762,44065,44395,44703,45035,45344,45642,45928,46202,46466,46721,46966,47203,47432,47653,47867,48074,48274,48468,48657
ORANGE,14927,14901,14807,14690,14627,14600,14643,14755,14835,14984,15083,15048,15022,14991,14954,14924,14893,14836,14774,14646,14451,14453,14497,14546,14626,14711,14791,14869,14942,15013,15082,15148,15211,15272,15331,15389,15444,15498,15549,15600,15648
PARKES,170101,171245,172927,175370,178021,180919,185175,189684,195136,199575,203205,208182,214537,221107,227649,234444,243158,250835,257472,260413,258527,262981,268423,273106,278461,284153,290500,296361,303552,309512,315591,320547,325592,330560,335624,341024,346612,352062,357634,363948,369516
PENRITH,176277,176829,176610,175589,175799,176067,177280,179851,181901,182948,184589,187281,190527,193765,197678,201597,205517,209578,213534,216922,219239,220460,224058,226280,228943,231023,232615,234141,235771,237265,238991,241381,243606,246479,249815,253335,257020,260653,264273,267934,271518
PORT MACQUARIE-HASTINGS,64960,66573,67960,68987,69659,69947,71097,72528,73317,74460,75232,76271,77043,78048,78997,80073,81386,82780,84167,85499,86638,86664,87276,87947,88572,89247,89876,90483,91064,91622,92160,92677,93175,93657,94123,94573,95008,95429,95837,96232,96616
PORT STEPHENS,58509,59506,60410,61256,61918,62132,63425,64316,65521,66447,67214,68012,68750,69537,70257,71115,71829,72609,73509,74450,75328,75622,76359,77099,77796,78532,79244,79950,80648,81339,82025,82708,83387,84063,84736,85407,86075,86741,87403,88063,88721
QUEANBEYAN-PALERANG REGIONAL,44289,45669,47142,47783,48886,50070,51002,52141,53190,54250,54844,55408,55920,56537,57130,57790,59000,60212,61423,62506,63404,64143,65393,66550,67562,68591,69571,70485,71379,72253,73112,73957,74767,75479,76146,76769,77344,77874,78353,78784,79208
RANDWICK,124456,124390,124252,124088,124596,125346,128229,131136,133975,136006,137792,139836,142459,144814,146908,148922,149099,147552,145287,142499,135219,135354,145289,147203,147920,148558,148941,149397,149746,149993,150336,150679,151028,151414,151883,152385,152894,153340,153702,154265,154745
RICHMOND VALLEY,21014,21213,21213,21167,21256,21728,22067,22291,22417,22597,22717,22848,22981,23087,23148,23256,23336,23446,23525,23593,23595,23553,23626,23702,23767,23844,23913,23979,24043,24104,24163,24219,24273,24325,24375,24422,24466,24509,24549,24588,24624
RYDE,98516,98711,98929,99089,99527,100344,102453,104602,105983,107319,108712,111156,113547,115843,118499,121270,124095,126364,129738,130999,129813,130530,133670,135110,137278,140729,142911,145769,149068,152018,155204,157517,159956,162248,164253,166240,167939,169909,171669,173680,175859
SHELLHARBOUR,59383,60054,60815,61382,61863,62243,62916,63956,64778,65597,66218,66840,67701,68658,69474,70391,71303,72318,73370,74941,76492,77650,79677,81543,83200,84912,86573,88231,89882,91528,93170,94810,96447,98083,99718,101350,102980,104607,106231,107852,109469
SHOALHAVEN,86856,88055,88861,89374,90173,90505,91497,92351,93754,95154,96203,97166,98097,99292,100550,101942,103122,104489,105781,107246,108550,110060,112712,115166,117353,119621,121824,124021,126210,128391,130567,132741,134911,137080,139246,141410,143570,145726,147879,150027,152171
SINGLETON,21066,21356,21671,21886,22254,22535,22663,22860,23063,23335,23523,23548,23557,23597,23586,23576,23806,24036,24309,24503,24725,24808,25007,25206,25393,25590,25781,25970,26157,26343,26527,26710,26891,27073,27253,27433,27612,27790,27968,28145,28321
SNOWY MONARO REGIONAL,19440,19571,19710,19762,19866,20008,20073,20147,20241,20335,20386,20403,20433,20454,20473,20558,20792,20972,21192,21437,21667,21856,22181,22482,22746,23014,23269,23508,23741,23969,24193,24413,24633,24871,25114,25361,25613,25870,26133,26402,26668
SNOWY VALLEYS,15084,15018,15052,14793,14700,14684,14641,14575,14647,14728,14756,14741,14720,14690,14640,14611,14693,14751,14817,14889,14900,14901,14914,14926,14936,14947,14956,14966,14975,14984,14992,15000,15009,15016,15024,15032,15039,15047,15054,15061,15068
STRATHFIELD,29253,29578,30256,31242,32143,33030,34219,35343,36592,37002,37239,37968,38918,40301,41276,42415,43679,44663,45895,46417,45963,46087,47630,50502,51268,52032,52789,53862,54710,55411,56347,57304,58136,58726,59293,59756,60189,60582,60685,60791,60897
SUTHERLAND SHIRE,212458,212978,212719,211907,211460,211230,213161,216400,219065,220060,220250,221220,222549,223921,225218,226461,227428,228239,229213,230379,230994,232067,234707,237814,239689,241051,242161,243348,244162,244899,245737,246613,247431,248200,248887,249477,250049,250578,251081,251598,252105
SYDNEY,128901,136368,145079,152892,158834,164597,169056,172985,177150,180748,183281,189543,196318,204516,214037,222717,227997,229284,229596,227250,214703,216213,229135,236127,239927,244560,247914,251476,254809,257916,259565,261726,263844,266137,267741,269427,270876,272170,273013,273770,274398
TAMWORTH REGIONAL,53557,53831,54016,54111,54363,54887,55607,56148,56814,57650,58228,58699,59240,59872,60432,60990,61758,62511,63183,63405,63670,63683,64077,64507,64909,65341,65745,66134,66507,66865,67210,67542,67862,68171,68470,68759,69038,69308,69569,69823,70069
TEMORA,6288,6221,6123,6039,6016,6008,5977,5959,5936,5951,5953,6002,6055,6098,6165,6210,6162,6138,6116,6077,6013,6020,6081,6138,6184,6235,6281,6326,6370,6412,6453,6493,6532,6570,6607,6644,6679,6714,6749,6782,6815
TENTERFIELD,6842,6808,6709,6650,6630,6666,6731,6796,6882,6941,6990,6925,6834,6769,6713,6697,6728,6767,6794,6779,6800,6789,6808,6827,6844,6863,6881,6898,6914,6930,6945,6959,6973,6986,6998,7010,7022,7033,7043,7053,7062
THE HILLS SHIRE,117301,122269,126698,130134,133214,136015,138034,141230,144388,146247,147779,149939,152429,155366,158941,162975,168400,173067,180102,186622,192660,198509,210055,223573,232495,241274,249058,256193,263736,271017,277806,284459,290165,296063,301365,306389,311310,316050,320113,324503,328635
TWEED,73980,75711,77868,79555,80382,81531,83060,84842,86539,87722,88437,89266,90226,91139,92261,93742,94597,95355,96068,96857,97216,96799,97502,98231,98867,99603,100267,100908,101522,102112,102679,103224,103744,104242,104718,105172,105604,106014,106403,106773,107125
UNINCORPORATED - BOTANY BAY AREA,1210,1189,1162,1135,1114,1095,1100,1107,1107,1114,1119,1124,1127,1134,1106,1112,1109,1115,1086,1055,1020,1015,1015,1014,1013,1013,1012,1011,1011,1010,1009,1009,1008,1008,1007,1007,1006,1006,1005,1005,1004
UNINCORPORATED - FAR WEST AREA,13430,13415,13335,13235,13281,13333,13374,13599,13801,13983,14206,14388,14514,14508,14412,14344,14318,14298,14291,14296,14258,14281,14338,14394,14448,14504,14559,14613,14667,14720,14773,14825,14877,14929,14981,15032,15084,15135,15186,15236,15287
UNINCORPORATED - LORD HOWE ISLAND,7210,7203,7195,7192,7185,7209,7229,7276,7333,7379,7422,7571,7594,7722,7804,7853,8003,8097,8220,8378,8494,8508,8592,8669,8734,8804,8868,8941,9012,9081,9149,9214,9279,9344,9409,9474,9538,9602,9665,9729,9791
UNINCORPORATED - SYDNEY HARBOUR AREA,6052,6002,5912,5885,5888,5894,5930,5996,6129,6198,6241,6244,6253,6238,6194,6147,6154,6144,6119,6056,5992,5980,6003,6026,6047,6070,6091,6112,6131,6150,6168,6185,6202,6217,6233,6247,6261,6274,6286,6298,6309
UPPER HUNTER,56280,56718,56897,57211,57761,58518,59493,60329,61061,61503,61781,62104,62416,62776,63327,63906,64768,65618,66411,67277,67891,67949,68550,69102,69550,70032,70475,70905,71321,71722,72112,72493,72864,73227,73583,73931,74272,74606,74933,75253,75567
UPPER LACHLAN SHIRE,3282,3270,3257,3244,3244,3259,3210,3172,3154,3137,3119,3143,3150,3149,3128,3130,3138,3110,3090,3057,3019,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017
URALLA,8261,8049,7800,7517,7312,7129,6979,6883,6914,6908,6797,6701,6595,6512,6419,6317,6167,6004,5869,5701,5588,5590,5569,5546,5525,5503,5483,5463,5444,5425,5408,5391,5374,5358,5343,5328,5314,5300,5287,5274,5261
WAGGA WAGGA,3293,3201,3111,3008,2919,2814,2786,2789,2807,2840,2862,2857,2836,2809,2783,2797,2742,2714,2662,2634,2584,2572,2570,2568,2566,2563,2561,2559,2557,2555,2553,2552,2550,2548,2547,2545,2544,2542,2541,2540,2538
WALCHA,10762,10620,10446,10258,10155,10034,9952,9925,9930,9921,9898,9849,9743,9689,9622,9562,9489,9454,9377,9358,9256,9256,9262,9269,9275,9281,9287,9293,9299,9304,9309,9314,9319,9324,9328,9333,9337,9341,9345,9349,9353
WALGETT,62853,62832,62778,62988,63435,64294,65279,66458,67394,68082,68698,69294,70052,70742,71336,72013,72507,72609,72485,71880,69397,69841,71732,72762,73202,73668,74217,74451,74609,74784,74974,75157,75342,75542,75734,75939,76145,76327,76472,76696,76888
WARREN,3826,3798,3768,3756,3737,3722,3710,3715,3720,3733,3759,3738,3723,3706,3688,3677,3672,3656,3635,3619,3592,3593,3598,3604,3609,3615,3620,3625,3630,3635,3640,3644,3648,3652,3656,3660,3664,3667,3671,3674,3678
WARRUMBUNGLE,7156,7078,7009,6946,6915,6926,6963,6964,6932,6910,6837,6847,6848,6877,6890,6932,7052,7185,7284,7389,7490,7491,7514,7540,7564,7590,7613,7636,7659,7680,7700,7720,7739,7757,7775,7792,7809,7825,7840,7855,7870
WAVERLEY,61399,62785,63389,64414,65578,66481,67809,68434,69512,70256,71139,72119,73072,74238,75970,77888,78873,78797,78830,78566,76044,75634,76738,77711,78473,79089,79383,79964,80960,81357,81419,81487,81534,81559,81587,81612,81643,81635,81700,81764,81856
WEDDIN,42384,42980,43257,43348,43402,43532,44054,44539,45165,45761,46126,46467,46964,47470,48150,48998,49790,50562,51302,52018,52489,52891,53596,54246,54821,55419,55999,56577,57154,57729,58303,58876,59448,60020,60591,61161,61731,62299,62866,63433,63998
WENTWORTH,38178,38513,39215,39830,40411,40969,41589,42401,43145,43828,44607,45439,46399,47445,48562,49854,50912,51972,52826,53618,54196,55450,57944,60685,62759,64781,67049,68678,70397,72102,74219,76774,79546,82489,85510,88631,91787,94899,97852,100946,103809
WILLOUGHBY,188275,189851,190475,190641,190721,190909,192770,195437,197887,200468,202068,203045,204707,206415,208313,210394,212188,213480,214552,215063,214700,217275,221796,225970,229683,233526,237257,240980,244688,248384,252072,255755,259431,263105,266776,270441,274101,277755,281401,285041,288673
WINGECARRIBEE,52677,52792,52998,52723,52655,52995,53564,54076,54862,55497,56320,56601,56909,57253,57513,57744,57750,57370,56892,55951,53910,53994,55407,56869,57124,57361,57508,57585,57636,57687,57799,57873,57948,58030,58123,58220,58318,58404,58472,58579,58670
WOLLONDILLY,12002,12366,12772,13058,13247,13500,13916,14310,14714,15227,15615,15808,16010,16188,16356,16568,16669,16796,16941,17092,17240,17332,17492,17642,17776,17914,18045,18239,18430,18616,18800,18980,19160,19355,19553,19755,19961,20171,20386,20607,20824
WOLLONGONG,52823.7,53215.7,53587.3,53613.9,53667.4,53969.6,54688.3,55517.7,56399.1,57336.5,58154.5,58425.2,58778.4,59127.4,59387.7,59620.6,59640.6,59395.8,59105.8,58492.7,57271.8,57616.2,58823.5,59975.2,60515.1,61071.2,61536.9,62081.1,62598.3,63111.3,63610.8,64043.7,64454.4,64863.1,65271.7,65674.7,66076.9,66480.3,66893.4,67315.5,67748.7
WOOLLAHRA,48197.2,48520.8,48868.6,48845.2,48860.8,49165.8,49858.2,50639.4,51480.6,52396.6,53223.6,53409.6,53638.6,53851.8,53924,53923.6,53700.2,53182.4,52640.2,51740.8,50193.4,50358.8,51349,52272.8,52542.6,52828.2,52992,53304.2,53577.4,53847.2,54068.2,54174.4,54237,54284.2,54325.4,54352.4,54376,54405.2,54459.4,54513.6,54600
YASS VALLEY,43570.7,43825.9,44149.9,44076.5,44054.2,44362,45028.1,45761.1,46562.1,47456.7,48292.7,48394,48498.8,48576.2,48460.3,48226.6,47759.8,46969,46174.6,44988.9,43115,43101.4,43874.5,44570.4,44570.1,44585.2,44447.1,44527.3,44556.5,44583.1,44525.6,44305.1,44019.6,43705.3,43379.1,43030.1,42675.1,42330.1,42025.4,41711.7,41451.3
